tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt
AGC000ETT16000003,Attorney-General's Chambers,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR ENTERPRISE LEGAL MANAGEMENT SYSTEM (ELMS) FOR ATTORNEY-GENERAL'S CHAMBERS,2016-04-27,Awarded to Suppliers,NOVACITYNETS PTE LTD,2457841.0
AGC000ETT16000004,Attorney-General's Chambers,"ITT FOR THE PROVISION OF APPLICATION MAINTENANCE AND SUPPORT FOR THE SPYDUS LIBRARY SYSTEM FOR THE ATTORNEY-GENERALS CHAMBER, THE SUPREME COURT AND THE STATE COURTS",2016-09-16,Awarded to Suppliers,CIVICA PTE. LTD.,146878.0
AGC000ETT16000005,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF OFFSITE STORAGE FOR THE ATTORNEY-GENERAL'S CHAMBERS FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR,2016-09-15,Awarded to No Suppliers,,0.0
AGC000ETT16000007,Attorney-General's Chambers,"To conduct security risk assessment, review existing security measures and develop security protection plan and security procedures for Attorney-General's Chambers.",2016-09-29,Awarded to Suppliers,JACOBS INTERNATIONAL CONSULTANTS PTE. LTD.,52400.0
AGC000ETT16000019,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF EXTERNAL COURIER SERVICES FOR A PERIOD OF THREE (3) YEARS WITH THE OPTION TO EXTEND FOR UP TO ANOTHER TWO (2) YEARS FOR AGC,2017-01-25,Awarded to No Suppliers,,0.0
AGC000ETT16000020,Attorney-General's Chambers,"INVITATION TO TENDER FOR SUPPLY, INSTALLATION, INTEGRATION AND TESTING AND COMMISSIONING OF NEW SSID-BASED CARD ACCESS READERS FOR THE ATTORNEY-GENERALS CHAMBERS",2017-01-05,Awarded to Suppliers,CERTIS CISCO SECURITY TECHNOLOGY PTE. LTD.,199553.0
AGC000ETT16000022,Attorney-General's Chambers,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,2016-12-01,Awarded to Suppliers,ARMSTRONG TALENT DEVELOPMENT,74500.0
AGO000ETT15000001,Auditor-General's Office,"Minor Addition And Alteration, with Design Adaption Works to Auditor-General's Office",2015-02-17,Awarded to Suppliers,E.ID PROJECTS PTE. LTD.,72780.0
AVA000ETT14000028,Agri-food and Veterinary Authority,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to carry out repair and redecoration (R&R)works at the Chicken Isolators Room",2015-01-07,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,418000.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,BIO-REV PTE. LTD.,6209.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,192359.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,ITS Science & Medical Pte Ltd,600.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,Mettler-Toledo (S) Pte Ltd,4160.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,Palico Biotech Pte Ltd,2760.45
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,SARTORIUS SINGAPORE PTE. LTD.,2020.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD,874.0
AVA000ETT14000030,Agri-food and Veterinary Authority,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,2015-01-21,Awarded to Suppliers,TRADE 21 PTE. LTD.,2768.5
AVA000ETT14000031,Agri-food and Veterinary Authority,Tender for the preventive maintenance and corrective maintenance of generators at Marine Aquaculture Centre,2015-01-21,Awarded to Suppliers,CA FACILITIES PTE. LTD.,55450.0
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,BLUE OCEAN HARVEST PTE. LTD.,221140.0
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,GLOBEX GREEN LLP,309225.0
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,364200.0
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,PHAEDRUS AQUATECH PTE. LTD.,258645.0
AVA000ETT14000032,Agri-food and Veterinary Authority,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,2015-03-06,Awarded to Suppliers,SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE. LTD.,304400.0
AVA000ETT14000033,Agri-food and Veterinary Authority,Tender for a Two-year period contract for the supply and delivery of acids for lab use,2015-02-11,Awarded to Suppliers,AIK MOH PAINTS & CHEMICALS PTE LTD,38826.4
AVA000ETT14000033,Agri-food and Veterinary Authority,Tender for a Two-year period contract for the supply and delivery of acids for lab use,2015-02-11,Awarded to Suppliers,MERCK PTE. LTD.,224.8
AVA000ETT14000033,Agri-food and Veterinary Authority,Tender for a Two-year period contract for the supply and delivery of acids for lab use,2015-02-11,Awarded to Suppliers,TEE HAI CHEM PTE LTD,79790.0
AVA000ETT14000034,Agri-food and Veterinary Authority,Tender for the laboratory renovation and facility/furniture supply for the radionuclides testing facility at the Veterinary Public Health Centre (VPHC) 10 Perahu Road Singapore 718837,2015-01-29,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,588888.0
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,20173.0
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,Achema Pte Ltd,930.0
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,IT TECHNOLOGIES PTE LTD,22736.3
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,OMEGA SCIENTIFIC PTE LTD,19635.0
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,Research Instruments Pte Ltd,3390.0
AVA000ETT14000036,Agri-food and Veterinary Authority,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,2015-09-22,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.,18290.0
AVA000ETT14000037,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One Unit of Alpha Spectrometer System for Lab Testing",2015-02-10,Awarded to Suppliers,Analytical Technologies Pte Ltd,145000.0
AVA000ETT14000038,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One unit of  Liquid Scintillation Spectrometer",2015-04-08,Awarded to Suppliers,PerkinElmer Singapore Pte Ltd,120150.0
AVA000ETT14000040,Agri-food and Veterinary Authority,"Tender for the Provision of Labour, Materials, Machinery, Equipment and other Logistics Arrangements to carry out Parts Replacement and Reinstatement of the Aquaculture Water System at Animal & Plant Health Centre (APHC), 6 Perahu Road, Singapore 718827",2015-05-07,Awarded to Suppliers,SGP MANAGERS & ENGINEERS PTE. LTD.,78663.14
AVA000ETT14000041,Agri-food and Veterinary Authority,"Tender for the Supply, Installation and Commissioning of One Unit of Nucleic Acid Extraction System",2015-07-10,Awarded to Suppliers,SCIENCEWERKE PTE LTD,75000.0
AVA000ETT14000042,Agri-food and Veterinary Authority,Tender for the supply and installation of Ultra-Filtration System at Marine Aquaculture Centre (MAC) on St John's Island,2015-05-14,Awarded to Suppliers,CUTECH SOLUTIONS & SERVICES PTE. LTD.,104500.0
AVA000ETT14000043,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",2015-02-27,Awarded to Suppliers,NDT INSTRUMENTS PTE LTD,44800.0
AVA000ETT14000043,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",2015-02-27,Awarded to Suppliers,SECOM (SINGAPORE) PTE LTD,187125.0
AVA000ETT14000044,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Inductively Coupled Plasma  Mass Spectrometer (ICP-MS) & 1 unit of Inductively Coupled Plasma  Optical Emission Spectrometer (ICP-OES)",2015-04-22,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,704568.55
AVA000ETT14000045,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation and Commissioning Of Two Units (2) of Ultra High Performance Liquid Chromatograph- Triple Quadrupole Mass Spectrometer Systems (UHPLC/MS/MS)",2015-03-30,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,883048.42
AVA000ETT14000046,Agri-food and Veterinary Authority,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to re-construct, screed and apply epoxy coat to the floor of the Virology BSL3 Lab at Animal & Plant Health Centre",2015-05-08,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,128888.0
AVA000ETT14000047,Agri-food and Veterinary Authority,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Gas Chromatograph-Triple Quadrupole Mass Spectrometer (GC-MS/MS) System",2015-04-16,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,184100.0
AVA000ETT14000051,Agri-food and Veterinary Authority,Tender for the venue and catering services for urban sustanability R&D congress 2015,2015-03-17,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,240887.72
AVA000ETT14000052,Agri-food and Veterinary Authority,"Tender for the supply, installation and commissioning of one (1) unit of Media Preparator",2015-08-24,Awarded to Suppliers,QUINTECH LIFE SCIENCES PTE. LTD.,40535.0
AVA000ETT15000001,Agri-food and Veterinary Authority,Tender for the Maintenance of Intelligent Food Approval and Safety Tracking System,2015-07-08,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,1491900.0
AVA000ETT15000002,Agri-food and Veterinary Authority,"Tender for the provision of multi-disciplinary team(Architectural, Civil & Structural, Mechanical & Electrical and Quantity Surveying) Consultancy Services for the development of New Animal Facility cum Education Centre",2015-05-14,Awarded to Suppliers,MODE ARCHITECTS PRIVATE LIMITED,386000.0
AVA000ETT15000003,Agri-food and Veterinary Authority,Rectification of building defects at Marine Aquaculture Centre,2015-04-24,Awarded to Suppliers,UNITED SPECIALISTS PTE LTD,85000.0
AVA000ETT15000004,Agri-food and Veterinary Authority,Tender for the provision of integrated facilities management services (IFM) at the Marine Aquaculture Centre (MAC),2015-05-21,Awarded to Suppliers,CA FACILITIES PTE. LTD.,7731891.0
AVA000ETT15000005,Agri-food and Veterinary Authority,Tender for the underwater maintenance works at AVA Fish Farm off St John's Island,2015-05-13,Awarded to Suppliers,DATAWIN ENTERPRISES,119900.0
AVA000ETT15000007,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply of dog and cat food,2015-08-28,Awarded to Suppliers,B2K PET PRODUCTS PTE. LTD.,49324.06
AVA000ETT15000007,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply of dog and cat food,2015-08-28,Awarded to Suppliers,PETSPLAY,15702.0
AVA000ETT15000007,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply of dog and cat food,2015-08-28,Awarded to Suppliers,Wildlife & Veterinary Supplies,15312.57
AVA000ETT15000009,Agri-food and Veterinary Authority,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,2015-05-31,Awarded to No Suppliers,,0.0
AVA000ETT15000013,Agri-food and Veterinary Authority,Tender for the Provision of Medical Services for AVA Officers,2015-07-09,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,214894.97
AVA000ETT15000015,Agri-food and Veterinary Authority,Tender for the supply and delivery of fish feeds,2015-08-14,Awarded to No Suppliers,,0.0
AVA000ETT15000016,Agri-food and Veterinary Authority,Tender for event management services for AVA's Public Education Programmes,2015-09-28,Awarded to Suppliers,GEES MARKETING PTE. LTD.,1195000.05
AVA000ETT15000017,Agri-food and Veterinary Authority,Tender for planimetric survey and cadastral survey works at Lim Chu Kang and Sungei Tengah,2015-07-23,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.,198988.0
AVA000ETT15000018,Agri-food and Veterinary Authority,Tender for the provision of services for clearance and disposal of vegetation and trees at Sungei Tengah Agrotech Park,2015-08-06,Awarded to Suppliers,KIAT LEE LANDSCAPE & BUILDING PTE LTD,326040.0
AVA000ETT15000020,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply and delivery of pre-poured agar plates for Lab use at Agri-Food & Veterinary Authority No.6 Perahu Road (S718827) & 10 Perahu Road (S718837),2016-01-07,Awarded to Suppliers,BIOMERIEUX SINGAPORE PTE. LTD.,21240.0
AVA000ETT15000020,Agri-food and Veterinary Authority,Tender for the two-year period contract for the supply and delivery of pre-poured agar plates for Lab use at Agri-Food & Veterinary Authority No.6 Perahu Road (S718827) & 10 Perahu Road (S718837),2016-01-07,Awarded to Suppliers,THERMO SCIENTIFIC MICROBIOLOGY PTE. LTD.,197706.2
AVA000ETT15000021,Agri-food and Veterinary Authority,Tender for soil investigation works at Lim Chu Kang and Sungei Tengah,2015-08-14,Awarded to Suppliers,SOIL INVESTIGATION PTE. LIMITED,318800.0
AVA000ETT15000022,Agri-food and Veterinary Authority,Tender for the supply and delivery of three (3) executive saloon cars,2015-10-29,Awarded to Suppliers,CYCLE & CARRIAGE KIA PTE LTD,309343.98
AVA000ETT15000023,Agri-food and Veterinary Authority,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,2015-07-13,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,88033.0
AVA000ETT15000026,Agri-food and Veterinary Authority,Tender for the Provision of corrective maintenance spares for diesel generator sets (Cummins KTA38-G5) at Marine Aquaculture Centre,2015-08-19,Awarded to Suppliers,CA FACILITIES PTE. LTD.,37476.17
AVA000ETT15000027,Agri-food and Veterinary Authority,"Tender for the Provision of bus transportation services for Agri-Bio Park, Lim Chu Kang",2015-08-20,Awarded to Suppliers,BRICKSTON TRANSPORT SERVICE,134400.0
AVA000ETT15000029,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",2015-09-25,Awarded to Suppliers,HONG HENG FISHERY PTE. LTD.,3000.0
AVA000ETT15000029,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",2015-09-25,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,1450.0
AVA000ETT15000029,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",2015-09-25,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,9000.0
AVA000ETT15000031,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",2015-09-22,Awarded to Suppliers,KIM SUM FISH AGENT,905.0
AVA000ETT15000031,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",2015-09-22,Awarded to Suppliers,LIE MENG FISH MERCHANT,1500.0
AVA000ETT15000031,Agri-food and Veterinary Authority,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",2015-09-22,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,3888.0
AVA000ETT15000034,Agri-food and Veterinary Authority,"Provision of multi-disciplinary (civil & structural, architectural, mechanical & electrical and quantity surveying) consultancy services for site preparation and infrastructure works at Lim Chu Kang and Sungei Tengah",2016-01-27,Awarded to No Suppliers,,0.0
AVA000ETT15000037,Agri-food and Veterinary Authority,TENDER FOR THE THREE-YEAR PERIOD CONTRACT  FOR THE SUPPLY AND DELIVERY OF  GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY  NO. 6 & 10 PERAHU ROAD (718827 & 718837),2016-04-20,Awarded to Suppliers,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,11325.0
AVA000ETT15000037,Agri-food and Veterinary Authority,TENDER FOR THE THREE-YEAR PERIOD CONTRACT  FOR THE SUPPLY AND DELIVERY OF  GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY  NO. 6 & 10 PERAHU ROAD (718827 & 718837),2016-04-20,Awarded to Suppliers,AIR PRODUCTS SINGAPORE PTE LTD,74969.5
AVA000ETT15000037,Agri-food and Veterinary Authority,TENDER FOR THE THREE-YEAR PERIOD CONTRACT  FOR THE SUPPLY AND DELIVERY OF  GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY  NO. 6 & 10 PERAHU ROAD (718827 & 718837),2016-04-20,Awarded to Suppliers,LEEDEN NATIONAL OXYGEN LTD.,83848.5
